Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Precip (mm)
0,0,-2,-1,0
1,2,-4,-1,0
2,2,-2,0,0
3,15,-15,0,0
4,-1,-16,-8.5,0
5,2.5,-7,-2.3,0
6,4,-6,-1,0
7,6,-3,1.5,0
8,7,2,4.5,29.8
9,7,5,6,12.8
10,-2.5,-7,-4.8,3.5
11,0,-9,-4.5,5
12,-5,-11,-8,2
13,-0.5,-8,-4.3,0.5
14,4.5,-3.5,0.5,9.4
15,3.5,0,1.8,0
16,0,-3,-1.5,0
17,-7,-12,-9.5,0
18,-3,-15,-9,0
19,-2,-5.5,-3.8,0
20,-3,-6,-4.5,0
21,-2,-10,-6,0
22,-5,-12,-8.5,0
23,2,-12,-5,0
24,5.5,-2,1.8,1
25,6,2,4,0.7
26,2,-3,-0.5,1
27,2,-1,0.5,1
28,0,-9,-4.5,0
29,5,-8,-1.5,0
30,9,-3,3,5
31,8,3,5.5,0
32,6,0.5,3.3,9.6
33,12,0.5,6.3,0
34,4,1.5,2.8,0
35,1.5,-4,-1.3,0.5
36,4,-1.5,1.3,0
37,5,-3,1,0
38,3,0,1.5,0
39,0,-4,-2,1
40,-2,-4,-3,0
41,6,-17,-5.5,0
42,-3,-13,-8,0
43,-18,-27,-22.5,0
44,-4,-25,-14.5,0
45,0,-14,-7,7
46,0,-5,-2.5,5
48,-1,-18,-9.5,0
49,8,-11.5,-1.8,0
50,12,3,7.5,0
51,7,2,4.5,0
52,0,-4.5,-2.3,0
53,0,-6,-3,0
54,2.5,-2,0.3,22
57,5.5,-5.5,0,0
58,10,1.5,5.8,0
61,-4.5,-11,-7.8,0
62,-4,-12.5,-8.3,0
63,0,-8.5,-4.3,0
64,2,-5,-1.5,0
65,4.5,0,2.3,0
66,9,1.5,5.3,0
67,9,2,5.5,0
68,14,2,8,0.6
69,12,7,9.5,8.4
70,8,1,4.5,0
72,10,-1,4.5,9.8
73,7.5,5,6.3,3.2
