Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Date of Launch,Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
AAUSat-4,NR,University of Aalborg,Denmark,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,442,687,0.0177,98.2,95.9,1,,,4/25/2016,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460
ABS-2,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,75,35778,35793,0.000178,0.08,1436.03,6330,,16000,2/6/2014,15,Space Systems/Loral,USA,Guiana Space Center,Ariane  5 ECA,2014-006A,39508
ABS-2A,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,-75,35700,35700,0,0,1436.1,1800,,,6/15/2016,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588
ABS-3,Philippines,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,146.06,35769,35802,0.000391,0.05,1436.07,3775,1800,9000,8/19/1997,15,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B,1997-042A,24901
ABS-3A,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,-3,35788,35803,0.000178,0.1,1436,2000,,,3/2/2015,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424
ABS-4,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,75,35780,35793,0.000154,0.01,1436.1,4143,1700,7400,3/13/2004,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184
ABS-6,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,159,35777,35794,0.000202,0.01,1436.08,2894,1730,"6,800 (EOL)",9/26/1999,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924
ABS-7,South Korea,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,116.18,35780,35791,0.00013,0.01,1436.06,3500,1800,4800,9/4/1999,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894
USA 139,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,-14.5,35560,36013,0.00537,7.72,1436.14,4500,,,5/9/1998,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336
USA 171,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,95.4,35589,35984,0.00468,3.2,1436.1,4500,,,9/9/2003,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937
USA 202,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,44,35714,35937,0.00264,2.89,1438.8,5000,,,1/18/2009,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490
USA 223,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,100.9,35500,35500,0,0,,5000,,,11/21/2010,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232
USA 237,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,60,35771,35805,0.000403,0,23.94,5000,,,6/29/2012,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528
USA 268,NR,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,103,35613,35903,0.00344,7.51,1437.19,5000,,,6/11/2016,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584
USA 235,USA,US Air Force,USA,Military,Communications,,GEO,,-120,35772,35801,0.000344,2.34,1436.1,6169,,,5/3/2012,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254
USA 246,NR,US Air Force,USA,Military,Communications,,GEO,,,35700,35803,0.00122,4.2,1436.1,6169,,,9/18/2013,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256
Aeneas,USA,Department of Homeland Security,USA,Government,Technology Development,,LEO,Equatorial,0,480,790,0.0221,0.02,97.4,3,,,9/13/2012,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760
Aerocube 4.5A,USA,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,495,791,0.0211,64.6,97.5,5,,,9/13/2012,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048K,38767
Aerocube 4.5B,USA,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,499,792,0.0209,64.6,97.6,5,,,9/13/2012,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048L,38768
Aerocube 5A,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Polar,0,443,886,0.0315,120.3,98,5,,,12/6/2013,2,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072D,39465
Aerocube 5B,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Polar,0,443,886,0.0315,120.3,98,5,,,12/6/2013,2,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072E,39466
Aerocube 5C,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,500,802,0.0215,64.78,97.74,2,,,10/8/2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965
Aerocube 6A,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Sun-Synchronous,0,614,700,0.00612,97.98,97.88,5,,,6/19/2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045
Aerocube 6B,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Sun-Synchronous,0,614,700,0.00612,97.98,97.88,5,,,6/19/2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046
Aerocube 7A,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,500,802,0.0215,64.6,97.4,2,,,10/8/2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966
Aerocube 8A,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,356,700,0.0249,55,95.19,5,,,5/20/2015,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659
Aerocube 8B,NR,Aerospace Corporation,USA,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,356,700,0.0249,55,95.19,5,,,5/20/2015,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660
Eutelsat 28B,France,European Telecommunications Satellite Consortium (EUTELSAT),Multinational,Commercial,Communications,,GEO,,48,35764,35808,0.000522,0.12,1436.08,3460,1555,7000,12/20/2008,15,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460
Afristar ,USA,1Worldspace,USA,Commercial,Communications,,GEO,,20.97,35770,35802,0.00038,0.03,1436.09,2704,1530,5500,10/28/1998,15,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,1998-063A,25515
AIM,USA,"Center for Atmospheric Sciences, Hampton University/NASA",USA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,544,552,0.000578,97.9,96.2,215,197,216,4/25/2007,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304
AISat-1,Germany,German Aerospace Center (DLR),Germany,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,643,660,0.00121,98.25,97.76,14,,,6/30/2014,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Center,PSLV-CA,2014-034B,40054
AISSat-1,Norway,Norwegian Coastal Admnistration,Norway,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,615,632,0.00122,98,97.2,6,,,7/12/2010,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Center,PSLV,2010-035C,36797
AISSat-2,Norway,Norwegian Coastal Admnistration,Norway,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,625,631,0.000429,98.4,97.27,6,,,7/8/2014,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075
AIST-1,Russia,"Samara State Aerospace University, SGAU",Russia,Civil,Technology Development,,LEO,Polar,0,599,626,0.00193,82.4,96.9,,,,12/28/2013,,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492
AIST-2,Russia,"Samara State Aerospace University, SGAU",Russia,Civil,Technology Development,,LEO,Non-Polar Inclined,0,558,582,0.00173,64.88,96.06,53,,,4/19/2013,3,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133
AIST-2D,NR,Samara State Aerospace University,Russia,Civil,Technology Development,,LEO,Sun-Synchronous,0,471,486,0.0011,97.28,94.18,531,,,4/27/2016,,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465
ALiCE,NR,US Air Force Institute of Technology,USA,Military,Technology Development,,LEO,Polar,0,443,886,0.0315,120.3,98,5,,,12/6/2013,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467
Alphasat I-XL,United Kingdom,"INMARSAT, Ltd./European Space Agency",United Kingdom/ESA,Commercial/Government,Communications/Technology Development,,GEO,,25,35786,35787,1.19E-05,0.02,1436.09,6650,3370,12000,7/25/2013,15,Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2013-038A,39215
Alsat-2A,Algeria,Centre National des Techniques Spatiales (CNTS),Algeria,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,672,674,0.000142,98.1,98.2,130,,,7/12/2010,5,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Center,PSLV,2010-035D,36798
Amazonas-1,Brazil,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,,GEO,,-61.02,35776,35797,0.000249,0.04,1436.1,4545,2000,"9,500 (EOL)",8/4/2004,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2004-031A,28393
Amazonas-2,Brazil,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,,GEO,,-61,35767,35805,0.000451,0.03,1436.08,5465,,15300,10/1/2009,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942
Amazonas-3,Brazil,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,,GEO,,-61,35781,35791,0.000119,0.03,1436.05,6265,2778,14000,2/7/2013,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078
Amazonas-4A,NR,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,,GEO,,-61,35784,35795,0.00013,0.08,1436.24,2938,,,3/22/2014,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616
AMC-1,USA,SES (Société Européenne des Satellites (SES)),USA,Commercial,Communications,,GEO,,-103.02,35772,35800,0.000332,0.03,1436.1,2783,1600,"6,500 (EOL)",9/8/1996,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315
AMC-10,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-134.97,35775,35797,0.000261,0.01,1436.09,2315,907,"6,500 (EOL)",2/5/2004,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154
AMC-11,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-130.93,35774,35797,0.000273,0.04,1436.07,2340,"2,316 (BOL)","6,500 (EOL)",5/19/2004,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252
AMC-15,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-105.04,35777,35795,0.000213,0.04,1436.08,4200,,,10/14/2004,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446
AMC-16,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-84.98,35780,35793,0.000154,0.02,1436.1,4312,,,12/17/2004,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472
AMC-18,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-104.97,35773,35800,0.00032,0.06,1436.1,2081,918,,12/8/2006,15,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644
AMC-2,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-100.98,35774,35798,0.000285,0.05,1436.1,2648,1600,"6,500 (EOL)",1/30/1997,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713
AMC-21,United Kingdom,SES World Skies,USA,Commercial,Communications,,GEO,,-124.86,35778,35793,0.000178,3,1436.1,2500,,5000,8/14/2008,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275
AMC-3,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-86.96,35777,35795,0.000213,0.02,1436.08,2845,1600,"6,500 (EOL)",9/4/1997,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,1997-050A,24936
AMC-4,USA,SES World Skies,USA,Commercial,Communications,,GEO,,-100.99,35781,35791,0.000119,0.01,1436.1,3909,2500,,11/13/1999,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954
